Starting parameters:
A = 0.0, B = 5.0, a = 0.0, b = 1.0, n = 20, h = 0.05, alpha0 = 2.5, alpha1 = 3.5
+------+----------+--------+--------+--------+----------+--------+
|  x   |  yexact  | zexact | usolve | zsolve |  ufault  | zfault |
+------+----------+--------+--------+--------+----------+--------+
| 1.0  |   3.0    |  5.0   |  3.0   |  5.0   |   0.0    |  0.0   |
| 0.95 | 2.757375 | 4.7075 |  2.75  |  4.7   | 0.007375 | 0.0075 |
| 0.9  |  2.529   |  4.43  | 2.515  | 4.415  |  0.014   | 0.015  |
| 0.85 | 2.314125 | 4.1675 | 2.294  | 4.145  | 0.020125 | 0.0225 |
| 0.8  |  2.112   |  3.92  | 2.087  |  3.89  |  0.025   |  0.03  |
| 0.75 | 1.921875 | 3.6875 | 1.892  |  3.65  | 0.029875 | 0.0375 |
| 0.7  |  1.743   |  3.47  |  1.71  | 3.425  |  0.033   | 0.045  |
| 0.65 | 1.574625 | 3.2675 | 1.539  | 3.215  | 0.035625 | 0.0525 |
| 0.6  |  1.416   |  3.08  | 1.378  |  3.02  |  0.038   |  0.06  |
| 0.55 | 1.266375 | 2.9075 | 1.227  |  2.84  | 0.039375 | 0.0675 |
| 0.5  |  1.125   |  2.75  | 1.085  | 2.675  |   0.04   | 0.075  |
| 0.45 | 0.991125 | 2.6075 | 0.951  | 2.525  | 0.040125 | 0.0825 |
| 0.4  |  0.864   |  2.48  | 0.825  |  2.39  |  0.039   |  0.09  |
| 0.35 | 0.742875 | 2.3675 | 0.705  |  2.27  | 0.037875 | 0.0975 |
| 0.3  |  0.627   |  2.27  | 0.592  | 2.165  |  0.035   | 0.105  |
| 0.25 | 0.515625 | 2.1875 | 0.484  | 2.075  | 0.031625 | 0.1125 |
| 0.2  |  0.408   |  2.12  |  0.38  |  2.0   |  0.028   |  0.12  |
| 0.15 | 0.303375 | 2.0675 |  0.28  |  1.94  | 0.023375 | 0.1275 |
| 0.1  |  0.201   |  2.03  | 0.183  | 1.895  |  0.018   | 0.135  |
| 0.05 | 0.100125 | 2.0075 | 0.088  | 1.865  | 0.012125 | 0.1425 |
| -0.0 |   -0.0   |  2.0   | -0.005 |  1.85  |  0.005   |  0.15  |
+------+----------+--------+--------+--------+----------+--------+
